"country","year","type","twh","tot"
"310","Turkey",2014,"tot",251620,3366.72
"311","Turkey",2015,"biofuel_electricity",1240,3366.72
"312","Turkey",2015,"coal_electricity",76160,3366.72
"313","Turkey",2015,"gas_electricity",99220,3366.72
"314","Turkey",2015,"hydro_electricity",67150,3366.72
"315","Turkey",2015,"nuclear_electricity",0,3366.72
"316","Turkey",2015,"oil_electricity",2250,3366.72
"317","Turkey",2015,"other_renewable_exc_biofuel_electricity",3420,3366.72
"318","Turkey",2015,"solar_electricity",190,3366.72
"319","Turkey",2015,"wind_electricity",11650,3366.72
"320","Turkey",2015,"tot",261280,3366.72
"321","Turkey",2016,"biofuel_electricity",1630,3366.72
"322","Turkey",2016,"coal_electricity",92270,3366.72
"323","Turkey",2016,"gas_electricity",89230,3366.72
"324","Turkey",2016,"hydro_electricity",67230,3366.72
"325","Turkey",2016,"nuclear_electricity",0,3366.72
"326","Turkey",2016,"oil_electricity",1950,3366.72
"327","Turkey",2016,"other_renewable_exc_biofuel_electricity",4820,3366.72
"328","Turkey",2016,"solar_electricity",1040,3366.72
"329","Turkey",2016,"wind_electricity",15520,3366.72
"330","Turkey",2016,"tot",273690,3366.72
"331","Turkey",2017,"biofuel_electricity",2100,3366.72
"332","Turkey",2017,"coal_electricity",97480,3366.72
"333","Turkey",2017,"gas_electricity",110490,3366.72
"334","Turkey",2017,"hydro_electricity",58220,3366.72
"335","Turkey",2017,"nuclear_electricity",0,3366.72
"336","Turkey",2017,"oil_electricity",1230,3366.72
"337","Turkey",2017,"other_renewable_exc_biofuel_electricity",6130,3366.72
"338","Turkey",2017,"solar_electricity",2890,3366.72
"339","Turkey",2017,"wind_electricity",17900,3366.72
"340","Turkey",2017,"tot",296440,3366.72
"341","Turkey",2018,"biofuel_electricity",2500,3366.72
"342","Turkey",2018,"coal_electricity",111800,3366.72
"343","Turkey",2018,"gas_electricity",90090,3366.72
"344","Turkey",2018,"hydro_electricity",59750,3366.72
"345","Turkey",2018,"nuclear_electricity",0,3366.72
"346","Turkey",2018,"oil_electricity",1440,3366.72
"347","Turkey",2018,"other_renewable_exc_biofuel_electricity",6910,3366.72
"348","Turkey",2018,"solar_electricity",7800,3366.72
"349","Turkey",2018,"wind_electricity",19860,3366.72
"350","Turkey",2018,"tot",300150,3366.72
"351","Turkey",2019,"biofuel_electricity",3400,3366.72
"352","Turkey",2019,"coal_electricity",112860,3366.72
"353","Turkey",2019,"gas_electricity",54880,3366.72
"354","Turkey",2019,"hydro_electricity",88640,3366.72
"355","Turkey",2019,"nuclear_electricity",0,3366.72
"356","Turkey",2019,"oil_electricity",970,3366.72
"357","Turkey",2019,"other_renewable_exc_biofuel_electricity",8230,3366.72
"358","Turkey",2019,"solar_electricity",9570,3366.72
"359","Turkey",2019,"wind_electricity",21630,3366.72
"360","Turkey",2019,"tot",300180,3366.72
"361","Spain",2014,"biofuel_electricity",5410,3273.22
"362","Spain",2014,"coal_electricity",43810,3273.22
